형태소,품사,분류,카운트
40억,Number,2019-07-24,2
40억,Number,2019-07-25,1
40억,Number,2019-07-26,3
40조원,Number,2019-08-09,1
41억,Number,2019-07-23,1
42억,Number,2019-07-23,5
480억,Number,2019-07-24,2
4월,Number,2019-07-27,1
5,Number,2019-07-23,5
5,Number,2019-07-24,1
500억,Number,2019-07-23,1
6,Number,2019-07-23,51
6,Number,2019-07-24,27
6,Number,2019-07-25,2
6,Number,2019-07-26,2
6,Number,2019-07-27,2
6,Number,2019-07-28,1
6,Number,2019-07-30,1
6,Number,2019-08-19,1
6,Number,2019-08-21,1
6,Number,2019-08-23,1
6,Number,2019-08-31,1
6,Number,2019-09-01,2
6,Number,2019-09-23,1
6000만원,Number,2019-07-23,1
65억,Number,2019-07-24,2
6억,Number,2019-07-24,1
6억,Number,2019-09-01,1
6억,Number,2019-09-02,1
6억원,Number,2019-09-01,2
75억,Number,2019-09-01,1
90억,Number,2019-07-23,1
90억,Number,2019-07-24,2
90억원,Number,2019-07-27,1
90억원,Number,2019-07-28,1
95억,Number,2019-07-23,50
95억,Number,2019-07-24,33
95억,Number,2019-07-25,2
95억,Number,2019-07-26,1
95억,Number,2019-07-30,1
95억,Number,2019-08-03,1
95억,Number,2019-08-30,3
95억,Number,2019-08-31,1
95억,Number,2019-09-01,1
95억,Number,2019-09-06,1
95억,Number,2019-09-23,1
95억원,Number,2019-07-23,15
95억원,Number,2019-07-24,4
96억,Number,2019-07-25,1
:,Punctuation,2019-07-25,1
=,Punctuation,2019-08-07,1
?,Punctuation,2019-07-23,41
?,Punctuation,2019-07-24,37
?,Punctuation,2019-07-25,3
?,Punctuation,2019-07-26,1
?,Punctuation,2019-07-30,1
?,Punctuation,2019-08-01,1
?,Punctuation,2019-08-03,1
?,Punctuation,2019-08-07,1
?,Punctuation,2019-08-09,1
?,Punctuation,2019-08-12,1
?,Punctuation,2019-08-23,1
?,Punctuation,2019-08-30,3
?,Punctuation,2019-08-31,2
?,Punctuation,2019-09-01,6
?,Punctuation,2019-09-03,1
?,Punctuation,2019-09-06,2
"?!""···",Punctuation,2019-09-30,1
"?""",Punctuation,2019-07-23,2
"?""",Punctuation,2019-07-24,1
"?""",Punctuation,2019-09-01,1
"?""…",Punctuation,2019-07-23,1
?',Punctuation,2019-07-24,1
?'..',Punctuation,2019-07-24,1
?..,Punctuation,2019-07-24,1
?...,Punctuation,2019-07-23,2
"?...""",Punctuation,2019-08-23,1
??,Punctuation,2019-07-23,1
?’,Punctuation,2019-07-23,2
?’,Punctuation,2019-07-25,1
?…,Punctuation,2019-07-23,3
?…,Punctuation,2019-07-24,4
?…,Punctuation,2019-07-25,1
?…,Punctuation,2019-07-26,1
"?…""",Punctuation,2019-07-24,1
?…',Punctuation,2019-07-23,3
BJ,Alpha,2019-07-23,1
BJ,Alpha,2019-07-30,1
CNN,Alpha,2019-07-27,3
MBC,Alpha,2019-08-22,1
MBC,Alpha,2019-08-25,1
NO,Alpha,2019-08-30,1
TV,Alpha,2019-07-23,1
TV,Alpha,2019-08-14,1
VS,Alpha,2019-07-23,1
VS,Alpha,2019-07-24,4
[,Punctuation,2019-08-01,1
],Punctuation,2019-08-01,1
`,Punctuation,2019-07-23,9
`,Punctuation,2019-07-24,5
`,Punctuation,2019-08-21,1
"`,",Punctuation,2019-07-24,1
`…,Punctuation,2019-07-23,1
ing,Alpha,2019-07-24,1
notch,Alpha,2019-07-23,2
top,Alpha,2019-07-23,2
vs,Alpha,2019-07-24,2
vs,Alpha,2019-09-01,1
~,Punctuation,2019-07-23,2
~’,Punctuation,2019-09-01,1
·,Punctuation,2019-07-23,9
·,Punctuation,2019-07-24,9
·,Punctuation,2019-07-25,3
·,Punctuation,2019-07-26,2
·,Punctuation,2019-07-27,1
···,Punctuation,2019-07-24,2
···,Punctuation,2019-07-30,1
˝,Foreign,2019-07-23,2
˝,Foreign,2019-07-24,2
‘,Foreign,2019-07-23,33
‘,Foreign,2019-07-24,27
‘,Foreign,2019-07-25,7
‘,Foreign,2019-07-26,15
‘,Foreign,2019-07-27,11
‘,Foreign,2019-08-03,2
‘,Foreign,2019-08-07,2
‘,Foreign,2019-08-09,1
‘,Foreign,2019-08-11,1
‘,Foreign,2019-08-12,1
‘,Foreign,2019-08-14,3
‘,Foreign,2019-08-23,1
‘,Foreign,2019-08-25,1
‘,Foreign,2019-08-30,2
‘,Foreign,2019-08-31,2
‘,Foreign,2019-09-01,4
‘,Foreign,2019-09-03,1
‘高,Foreign,2019-07-24,1
’,Punctuation,2019-07-23,25
’,Punctuation,2019-07-24,25
’,Punctuation,2019-07-25,6
’,Punctuation,2019-07-26,18
’,Punctuation,2019-07-27,13
’,Punctuation,2019-08-03,2
’,Punctuation,2019-08-07,2
’,Punctuation,2019-08-09,1
’,Punctuation,2019-08-11,1
’,Punctuation,2019-08-12,1
’,Punctuation,2019-08-14,3
’,Punctuation,2019-08-25,1
’,Punctuation,2019-08-30,2
’,Punctuation,2019-08-31,1
’,Punctuation,2019-09-01,3
’,Punctuation,2019-09-03,1
’,Punctuation,2019-09-11,1
