형태소,품사,분류,카운트
되는,Verb,2019-07-30,1
되려,Verb,2019-07-23,1
된,Verb,2019-07-23,3
된,Verb,2019-07-24,1
된,Verb,2019-07-27,1
된,Verb,2019-07-30,1
된,Verb,2019-09-06,1
된다,Verb,2019-07-24,3
될까,Verb,2019-07-23,1
두고,Verb,2019-07-30,1
두고,Verb,2019-08-23,1
두자,Verb,2019-07-25,1
둔,Verb,2019-07-23,1
뒤,Foreign,2019-07-23,1
뒤,Noun,2019-07-24,3
뒤,Noun,2019-08-31,2
드러났다,Verb,2019-09-01,1
든다,Verb,2019-07-25,1
들,Suffix,2019-07-23,4
들,Suffix,2019-07-24,14
들,Suffix,2019-07-27,3
들,Suffix,2019-08-09,1
들,Suffix,2019-08-14,1
들어,Verb,2019-07-23,2
들었,Verb,2019-08-23,1
들여다보니,Verb,2019-09-01,1
들이,Verb,2019-07-27,1
들이기에,Verb,2019-07-23,2
들이기에,Verb,2019-07-24,1
들인,Verb,2019-09-01,1
등,Noun,2019-07-23,1
등,Noun,2019-07-24,3
등,Noun,2019-07-27,3
등,Noun,2019-09-01,1
등장,Noun,2019-07-24,1
등장,Noun,2019-07-25,5
등장,Noun,2019-07-26,1
따르면,Verb,2019-07-26,1
따르면,Verb,2019-07-27,1
따른,Verb,2019-07-30,1
딸,Noun,2019-07-24,1
딸,Noun,2019-08-23,1
딸,Noun,2019-09-01,1
때리는,Verb,2019-07-24,3
때문,Noun,2019-07-24,2
또,Noun,2019-07-23,2
뜨거운,Adjective,2019-07-24,1
뜬,Verb,2019-07-24,1
띄네,Verb,2019-09-01,1
라는,Josa,2019-09-01,1
라면,Noun,2019-07-24,6
라임,Noun,2019-07-24,1
래,Josa,2019-07-23,10
래,Josa,2019-07-24,7
래,Josa,2019-07-25,2
력,Suffix,2019-07-27,1
로,Josa,2019-07-23,5
로,Josa,2019-07-24,13
로,Josa,2019-07-26,2
로,Noun,2019-07-24,1
로그,Noun,2019-07-26,1
로그,Noun,2019-07-27,1
로만,Noun,2019-07-23,1
루지,Noun,2019-07-27,1
를,Josa,2019-07-25,2
를,Josa,2019-08-02,1
리뷰,Noun,2019-07-23,2
리뷰,Noun,2019-07-26,1
마기,Noun,2019-07-23,1
마스,Noun,2019-07-23,1
막강,Noun,2019-07-23,1
막대,Noun,2019-07-23,2
막으려면,Verb,2019-07-26,1
만,Josa,2019-07-23,6
만,Josa,2019-07-24,8
만,Noun,2019-07-24,1
만들긴,Verb,2019-07-24,1
만들려,Verb,2019-08-14,1
만들어야,Verb,2019-07-26,1
많은,Adjective,2019-07-23,1
말,Noun,2019-07-24,1
말,Noun,2019-08-31,2
말,Noun,2019-09-11,1
말고,Josa,2019-07-23,2
맞먹는다,Verb,2019-08-22,1
맞먹는다,Verb,2019-08-25,1
맞벌이,Noun,2019-07-23,1
매달,Noun,2019-07-23,5
매달,Noun,2019-07-27,1
매월,Noun,2019-08-19,1
매월,Noun,2019-08-23,1
매월,Noun,2019-09-01,1
매입,Noun,2019-07-23,56
매입,Noun,2019-07-24,30
매입,Noun,2019-07-25,3
매입,Noun,2019-07-26,2
매입,Noun,2019-07-27,2
매입,Noun,2019-07-28,1
매입,Noun,2019-08-03,1
매입,Noun,2019-08-07,1
매입,Noun,2019-08-09,1
매입,Noun,2019-08-30,3
매입,Noun,2019-09-01,1
매입,Noun,2019-09-06,1
매출,Noun,2019-07-23,8
매출,Noun,2019-08-25,1
매출,Noun,2019-08-30,1
매출,Noun,2019-09-01,4
먹고,Verb,2019-07-24,1
먹고,Verb,2019-08-02,1
먹방,Noun,2019-07-24,2
먹방,Noun,2019-07-25,1
먹어도,Verb,2019-07-24,2
먹으면,Verb,2019-07-25,1
먹은,Verb,2019-08-17,1
먼,Adjective,2019-07-24,1
며,Josa,2019-07-25,1
면,Josa,2019-07-23,2
면,Josa,2019-07-25,1
면알,Noun,2019-07-23,2
명,Foreign,2019-07-23,4
명,Foreign,2019-07-24,1
명,Foreign,2019-08-28,1
명,Noun,2019-07-23,3
명,Noun,2019-09-01,1
명,Suffix,2019-09-01,2
명↑,Foreign,2019-07-23,1
명과,Noun,2019-07-24,1
명문,Noun,2019-07-25,2
명백하게,Adjective,2019-09-06,1
명백한,Adjective,2019-09-06,1
명암,Noun,2019-07-23,1
명예훼손,Noun,2019-07-23,2
몇십,Modifier,2019-07-23,1
모두,Noun,2019-07-23,3
모방,Noun,2019-09-01,1
모습,Noun,2019-07-24,1
목소리,Noun,2019-07-24,2
목적,Noun,2019-07-24,1
목적,Noun,2019-08-30,2
못,Noun,2019-07-23,1
못,Noun,2019-07-24,2
못,Noun,2019-08-31,2
못,VerbPrefix,2019-07-24,3
못,VerbPrefix,2019-08-21,1
못,VerbPrefix,2019-08-30,1
무려,Noun,2019-07-23,2
무릅쓴,Noun,2019-07-24,1
무리한,Adjective,2019-07-24,1
무슨,Noun,2019-07-23,1
무슨,Noun,2019-07-24,2
무슨,Noun,2019-07-26,3
무슨,Noun,2019-07-27,3
무슨,Noun,2019-09-06,1
무조건,Noun,2019-07-23,1
문,Noun,2019-08-30,1
문어,Noun,2019-07-25,1
문어,Noun,2019-08-02,1
문제,Noun,2019-08-30,1
문제,Noun,2019-09-01,1
물질,Noun,2019-07-23,3
뭐기,Noun,2019-07-26,1
뭐길,Noun,2019-07-23,2
뭐길,Noun,2019-07-24,5
뭘,Noun,2019-07-24,1
미국,Noun,2019-07-26,1
미국,Noun,2019-07-27,1
미끼,Noun,2019-07-26,1
미달,Noun,2019-07-29,1
미래,Noun,2019-07-25,1
미성년,Noun,2019-07-27,1
미스월드,Noun,2019-07-23,1
미시간,Noun,2019-07-23,1
미취,Noun,2019-07-23,3
미치지,Adjective,2019-08-30,1
민낯,Noun,2019-07-24,2
및,Noun,2019-07-26,1
밑,Noun,2019-07-24,1
바꿔,Verb,2019-09-30,1
바닷가,Noun,2019-07-26,1
바닷가,Noun,2019-07-27,1
바디,Noun,2019-07-26,1
바악,Noun,2019-07-23,1
박,Noun,2019-07-24,3
박탈,Noun,2019-07-23,1
박탈,Noun,2019-07-24,1
박탈,Noun,2019-07-25,3
박탈,Noun,2019-07-26,2
밖에도,Josa,2019-07-26,2
반,Modifier,2019-07-24,1
반박,Noun,2019-09-06,4
반응,Noun,2019-07-24,3
반응,Noun,2019-07-25,1
반응,Noun,2019-07-30,1
반토막,Noun,2019-09-30,1
받아,Verb,2019-07-24,2
받아,Verb,2019-09-06,1
받은,Verb,2019-07-24,2
받을,Verb,2019-07-25,1
발암,Noun,2019-07-23,3
발표,Noun,2019-08-07,1
발표,Noun,2019-09-30,1
밝힌,Verb,2019-09-01,1
방석,Noun,2019-08-12,1
방송,Noun,2019-07-24,1
방송,Noun,2019-07-26,1
방송사,Noun,2019-07-30,1
배,Noun,2019-07-23,1
배,Noun,2019-07-24,1
배,Noun,2019-07-25,1
배,Noun,2019-07-26,1
배경,Noun,2019-09-01,1
배분,Noun,2019-07-24,1
배분,Noun,2019-08-31,1
배분,Noun,2019-09-03,1
배아,Noun,2019-07-24,1
버,Noun,2019-07-23,2
버,Noun,2019-07-24,2
버,Noun,2019-07-26,1
버,Noun,2019-07-27,1
버,Noun,2019-07-30,1
버,Noun,2019-08-30,1
버,Noun,2019-08-31,2
버들,Noun,2019-07-23,2
버들,Noun,2019-07-24,1
버들,Noun,2019-07-25,1
버들,Noun,2019-07-26,2
번,Noun,2019-07-24,5
번,Noun,2019-07-25,1
번,Noun,2019-07-26,1
벌,Noun,2019-07-25,1
벌금,Noun,2019-07-24,1
벌금,Noun,2019-09-05,1
벌금형,Noun,2019-07-24,1
벌길래,Verb,2019-07-23,2
벌던,Verb,2019-09-30,1
벌어,Verb,2019-07-23,2
벌어,Verb,2019-07-24,2
벌어,Verb,2019-09-01,1
벌었나,Verb,2019-09-02,1
벌었다,Verb,2019-08-28,1
법,Noun,2019-07-24,2
법,Noun,2019-08-02,1
법무,Noun,2019-08-30,1
법원,Noun,2019-07-24,1
법인,Noun,2019-08-30,1
베이비,Noun,2019-07-24,1
변호사,Noun,2019-07-24,2
변호사,Noun,2019-07-25,1
변화,Noun,2019-07-23,1
별개,Noun,2019-07-26,1
보나,Verb,2019-08-21,1
보니,Verb,2019-07-23,3
보니,Verb,2019-07-24,3
보다,Josa,2019-07-23,1
보다,Verb,2019-07-23,1
보다,Verb,2019-07-24,3
보다,Verb,2019-07-27,1
보람,Noun,2019-07-23,148
보람,Noun,2019-07-24,126
보람,Noun,2019-07-25,14
보람,Noun,2019-07-26,28
보람,Noun,2019-07-27,16
보람,Noun,2019-07-28,1
보람,Noun,2019-07-29,1
보람,Noun,2019-07-30,4
보람,Noun,2019-08-01,1
보람,Noun,2019-08-03,2
보람,Noun,2019-08-05,1
보람,Noun,2019-08-07,2
보람,Noun,2019-08-09,1
보람,Noun,2019-08-11,1
보람,Noun,2019-08-12,1
보람,Noun,2019-08-14,2
보람,Noun,2019-08-17,1
보람,Noun,2019-08-19,1
보람,Noun,2019-08-21,2
보람,Noun,2019-08-22,1
보람,Noun,2019-08-23,3
보람,Noun,2019-08-25,1
보람,Noun,2019-08-30,6
보람,Noun,2019-08-31,7
보람,Noun,2019-09-01,15
보람,Noun,2019-09-02,1
보람,Noun,2019-09-03,2
보람,Noun,2019-09-05,1
보람,Noun,2019-09-06,10
보람,Noun,2019-09-07,2
보람,Noun,2019-09-11,1
보람,Noun,2019-09-23,1
보람,Noun,2019-09-30,3
보며,Verb,2019-07-25,1
보유,Noun,2019-07-23,2
보유,Noun,2019-09-01,3
보이콧,Noun,2019-07-24,1
보인,Verb,2019-07-30,1
보증금,Noun,2019-07-23,1
보호,Noun,2019-07-24,3
보호,Noun,2019-07-25,1
보호,Noun,2019-09-05,1
보호,Noun,2019-09-06,2
보호처분,Noun,2019-07-24,5
본,Verb,2019-08-07,1
본,Verb,2019-08-09,1
본인,Noun,2019-07-26,1
볼까,Verb,2019-08-03,1
봤더니,Verb,2019-07-23,1
봤더니,Verb,2019-07-24,1
부동산,Noun,2019-07-25,3
부러웠던,Adjective,2019-07-25,1
부럽다,Adjective,2019-07-23,2
부르는,Verb,2019-07-26,1
부모,Noun,2019-07-24,6
부모,Noun,2019-07-25,1
부모,Noun,2019-07-26,1
부모,Noun,2019-07-27,1
부모님,Noun,2019-07-24,3
부모님,Noun,2019-07-25,1
부상,Noun,2019-08-09,1
부자,Noun,2019-07-23,1
부자,Noun,2019-09-01,1
부적,Noun,2019-08-31,1
부정,Noun,2019-07-26,1
부터,Josa,2019-07-24,1
부터,Josa,2019-07-30,1
분석,Noun,2019-07-26,1
분석,Noun,2019-07-27,1
불과,Noun,2019-09-06,1
불편한,Adjective,2019-07-27,1
뷰,Foreign,2019-07-23,1
뷰,Foreign,2019-07-24,1
뷰,Noun,2019-07-24,4
뷰가,Foreign,2019-07-27,1
브루노,Noun,2019-07-23,1
브이,Noun,2019-07-26,1
브이,Noun,2019-07-27,1
블레이드,Noun,2019-07-27,1
비,Noun,2019-07-23,1
비,Noun,2019-07-24,1
비,Noun,2019-09-06,1
비결,Noun,2019-07-23,1
비결,Noun,2019-07-24,3
비결,Noun,2019-08-12,1
비난,Noun,2019-07-24,3
비난,Noun,2019-08-11,1
비상,Noun,2019-07-23,1
비판,Noun,2019-07-24,3
비해,Verb,2019-09-01,1
빌딩,Noun,2019-07-23,66
빌딩,Noun,2019-07-24,37
빌딩,Noun,2019-07-25,4
빌딩,Noun,2019-07-26,2
빌딩,Noun,2019-07-27,2
빌딩,Noun,2019-07-30,1
빌딩,Noun,2019-08-03,1
빌딩,Noun,2019-08-07,1
빌딩,Noun,2019-08-30,3
빌딩,Noun,2019-08-31,1
빌딩,Noun,2019-09-01,2
빌딩,Noun,2019-09-06,1
빌딩,Noun,2019-09-23,1
빛,Noun,2019-07-24,1
빛,Noun,2019-09-01,2
빛과,Noun,2019-09-11,1
빠졌다,Verb,2019-08-21,1
뺨,Noun,2019-07-26,1
뽀,Noun,2019-07-24,1
뿌리거나,Verb,2019-09-01,1
뿐,Suffix,2019-07-23,1
사는,Verb,2019-07-23,1
사들여,Verb,2019-07-23,1
사들여,Verb,2019-07-24,1
사들이는,Verb,2019-07-25,1
사라지나,Verb,2019-09-05,1
사람,Noun,2019-07-27,1
사례,Noun,2019-08-11,1
사례,Noun,2019-09-01,1
사로잡아,Verb,2019-07-23,1
사로잡은,Verb,2019-07-23,1
사무,Noun,2019-08-31,1
사법,Noun,2019-07-24,1
사생활,Noun,2019-07-23,3
사생활,Noun,2019-07-24,2
사소한,Adjective,2019-07-27,1
사실,Noun,2019-07-27,1
사실,Noun,2019-08-31,1
사연,Noun,2019-08-23,1
사용,Noun,2019-07-24,1
사이,Noun,2019-07-24,3
사이,Noun,2019-07-30,1
사이트,Noun,2019-07-26,1
사이트,Noun,2019-07-27,1
사자,Noun,2019-07-23,1
사진,Noun,2019-07-23,2
사회,Noun,2019-07-26,1
삭제,Noun,2019-07-24,2
삭제,Noun,2019-07-25,1
산,Noun,2019-07-23,3
산,Noun,2019-07-24,4
산,Noun,2019-07-25,1
산,Noun,2019-07-30,1
산,Noun,2019-08-30,1
살,Noun,2019-07-23,27
살,Noun,2019-07-24,19
살,Noun,2019-07-25,2
살,Noun,2019-07-26,2
살,Noun,2019-07-27,1
살,Noun,2019-07-28,1
살,Noun,2019-07-30,1
살,Noun,2019-08-02,1
살,Noun,2019-08-19,1
살,Noun,2019-08-21,1
살,Noun,2019-08-22,1
살,Noun,2019-08-23,1
살,Noun,2019-08-31,1
살,Noun,2019-09-01,2
살,Noun,2019-09-23,1
살기,Noun,2019-07-27,1
살유튜버,Noun,2019-07-23,3
살유튜버,Noun,2019-07-24,1
살펴보니,Verb,2019-08-30,1
삼촌,Noun,2019-07-23,1
샀나,Verb,2019-08-31,1
샀다,Verb,2019-07-23,7
샀다,Verb,2019-07-24,3
상,Suffix,2019-07-23,2
상,Suffix,2019-07-24,1
상담,Noun,2019-09-06,1
상당,Noun,2019-07-23,2
상당,Noun,2019-07-24,3
상대,Noun,2019-07-23,1
상대,Noun,2019-07-24,1
상대,Noun,2019-07-25,2
상대,Noun,2019-07-26,2
상반,Noun,2019-07-30,1
상상,Noun,2019-07-23,2
상업,Noun,2019-08-11,1
상업,Noun,2019-09-01,1
상위,Noun,2019-07-23,2
상위,Noun,2019-07-24,1
상황,Noun,2019-07-24,5
상황,Noun,2019-09-01,1
색다른,Adjective,2019-07-23,1
생,Noun,2019-07-25,1
생식기,Noun,2019-09-01,1
생태계,Noun,2019-08-31,1
서울,Noun,2019-07-26,1
서울,Noun,2019-07-27,1
선,Noun,2019-08-17,1
선고,Noun,2019-07-24,1
섣불리,Noun,2019-07-30,1
설,Noun,2019-09-01,1
성,Modifier,2019-07-24,1
성,Suffix,2019-07-26,1
성,Suffix,2019-07-29,1
성공,Noun,2019-07-24,1
성공,Noun,2019-08-11,1
성공,Noun,2019-09-01,1
성공한,Adjective,2019-07-24,1
성공했지만,Adjective,2019-07-24,1
성범죄,Noun,2019-07-27,1
성실히,Adjective,2019-09-01,1
성인,Noun,2019-07-27,1
세,Noun,2019-07-23,25
세,Noun,2019-07-24,9
세,Noun,2019-07-27,1
세계,Noun,2019-07-28,1
세금,Noun,2019-07-23,2
세금,Noun,2019-08-30,1
세금,Noun,2019-09-01,1
세아,Noun,2019-07-24,1
세이브더칠드런,Noun,2019-07-23,2
소개,Noun,2019-07-27,1
소녀,Noun,2019-07-23,2
소녀,Noun,2019-07-24,1
소득,Noun,2019-08-07,2
소리,Noun,2019-07-23,5
소리,Noun,2019-07-25,1
소리,Noun,2019-07-30,1
소셜,Noun,2019-07-27,1
소소한,Adjective,2019-08-21,1
소식,Noun,2019-07-24,5
소아,Noun,2019-07-27,1
소유,Noun,2019-07-23,1
소유,Noun,2019-07-24,2
소재,Noun,2019-07-23,1
소재,Noun,2019-07-24,1
속,Noun,2019-07-23,1
속,Noun,2019-08-09,1
속사정,Noun,2019-07-23,1
속사정,Noun,2019-07-24,1
송도,Noun,2019-07-25,1
쇼,Noun,2019-08-19,1
쇼,Noun,2019-08-23,1
숍,Noun,2019-07-26,1
수,Noun,2019-07-23,2
수,Noun,2019-07-24,5
수,Noun,2019-07-25,1
수도,Noun,2019-07-23,1
수록,Noun,2019-07-23,2
수십,Noun,2019-09-01,1
수십억,Modifier,2019-07-23,1
수십억,Modifier,2019-07-24,3
수익,Noun,2019-07-23,32
수익,Noun,2019-07-24,23
수익,Noun,2019-07-25,5
수익,Noun,2019-07-26,2
수익,Noun,2019-07-27,1
수익,Noun,2019-07-30,2
수익,Noun,2019-08-03,1
수익,Noun,2019-08-07,1
수익,Noun,2019-08-19,1
수익,Noun,2019-08-25,1
수익,Noun,2019-08-30,1
수익,Noun,2019-08-31,2
수익,Noun,2019-09-01,3
수익,Noun,2019-09-03,1
수익,Noun,2019-09-06,1
수익,Noun,2019-09-30,1
수입,Noun,2019-07-23,23
수입,Noun,2019-07-24,10
수입,Noun,2019-07-25,1
수입,Noun,2019-07-26,2
수입,Noun,2019-08-30,2
수입,Noun,2019-08-31,2
수입,Noun,2019-09-01,1
수입,Noun,2019-09-06,1
수입,Noun,2019-09-30,1
수준,Noun,2019-07-24,1
수천만,Modifier,2019-07-23,2
수천만,Modifier,2019-09-01,1
수치,Noun,2019-09-06,1
수칙,Noun,2019-08-14,1
순,Modifier,2019-07-24,1
순,Noun,2019-07-25,2
순수한,Adjective,2019-08-30,1
순위,Noun,2019-07-23,1
숨은,Verb,2019-07-24,3
숫자,Noun,2019-07-26,1
쉽게,Verb,2019-07-24,3
슝슝,Noun,2019-07-24,1
스쿨,Noun,2019-07-26,1
스타,Noun,2019-07-24,1
스타,Noun,2019-07-25,1
스타,Noun,2019-07-27,1
스타,Noun,2019-08-09,1
스페인,Noun,2019-07-26,2
슬,Noun,2019-07-24,1
시대,Noun,2019-07-23,1
시대,Noun,2019-07-25,2
시리즈,Noun,2019-07-24,1
시샘,Noun,2019-07-24,3
시선,Noun,2019-07-23,2
시선,Noun,2019-07-24,2
시세,Noun,2019-07-23,1
시작,Noun,2019-07-23,3
시작,Noun,2019-07-26,1
시작,Noun,2019-08-14,1
시장,Noun,2019-08-09,2
시절,Noun,2019-07-26,1
시절,Noun,2019-07-27,1
시키는,Verb,2019-07-25,1
시킨,Verb,2019-07-23,2
신,Noun,2019-07-24,2
신상털이,Noun,2019-07-23,3
신화,Noun,2019-07-23,1
신화,Noun,2019-08-21,1
신화,Noun,2019-09-05,1
실검,Noun,2019-07-24,1
실제,Noun,2019-07-23,1
실제,Noun,2019-09-01,2
실제,Noun,2019-09-03,1
실체,Noun,2019-09-02,1
실화,Noun,2019-07-23,7
싫어요,Adjective,2019-07-24,1
심리,Noun,2019-09-06,1
싶다,Verb,2019-09-01,1
싶었을까,Verb,2019-08-02,1
싹,Noun,2019-09-30,1
쓸데없는,Adjective,2019-07-25,1
쓸어,Verb,2019-07-23,2
아,Josa,2019-07-24,3
아,Josa,2019-07-25,1
아냐,Verb,2019-08-17,1
아니다,Adjective,2019-08-31,1
아동,Noun,2019-07-23,1
아동,Noun,2019-07-24,2
아동,Noun,2019-07-26,2
아동,Noun,2019-07-27,2
아동,Noun,2019-08-09,1
아동,Noun,2019-09-05,1
아동,Noun,2019-09-06,3
아동학대,Noun,2019-07-23,1
아동학대,Noun,2019-07-24,28
아동학대,Noun,2019-07-25,4
아동학대,Noun,2019-07-26,1
아동학대,Noun,2019-08-31,3
아동학대,Noun,2019-09-01,1
아동학대,Noun,2019-09-07,1
아메리카,Noun,2019-07-23,1
아무나,Noun,2019-07-25,1
아무나,Noun,2019-08-17,1
아빠,Noun,2019-07-24,4
아빠,Noun,2019-07-26,1
아빠,Noun,2019-07-27,1
아빠,Noun,2019-09-01,1
아이,Noun,2019-07-23,5
아이,Noun,2019-07-24,9
아이,Noun,2019-07-25,2
아이,Noun,2019-07-26,1
아이,Noun,2019-07-30,1
아이,Noun,2019-08-02,1
아이,Noun,2019-08-03,1
아이,Noun,2019-08-09,1
아이,Noun,2019-08-18,1
아찔한,Adjective,2019-07-24,1
아파트,Noun,2019-07-25,2
아픈,Adjective,2019-07-23,1
아픈,Adjective,2019-07-25,1
악의,Noun,2019-07-23,1
안,Noun,2019-07-24,2
안,Noun,2019-07-30,1
안,VerbPrefix,2019-08-17,1
않은,Verb,2019-07-27,1
알,Noun,2019-07-23,2
알,Noun,2019-07-25,1
알,Noun,2019-08-31,1
알,Noun,2019-09-01,2
알,Noun,2019-09-02,1
알,Noun,2019-09-06,1
알고싶다,Noun,2019-08-31,1
알고싶다,Noun,2019-09-06,3
알고싶다,Noun,2019-09-07,1
알려,Verb,2019-07-24,1
암,Noun,2019-07-24,1
애,Noun,2019-07-23,1
애,Noun,2019-07-26,2
애,Noun,2019-08-03,1
애도,Noun,2019-07-26,1
액,Noun,2019-09-01,3
액체,Noun,2019-07-23,3
액체,Noun,2019-07-24,1
야,Josa,2019-07-23,2
약,Noun,2019-09-01,3
양,Noun,2019-07-24,1
양,Noun,2019-09-03,1
양,Noun,2019-09-06,1
양,Noun,2019-09-07,1
양,Suffix,2019-07-23,2
어느,Adverb,2019-07-25,2
어디,Noun,2019-07-23,1
어떤,Adjective,2019-07-24,1
어떤,Adjective,2019-07-26,1
어떻게,Adjective,2019-07-23,1
어떻게,Adjective,2019-07-24,1
어떻게,Adjective,2019-07-25,1
어떻길래,Adjective,2019-07-24,2
어른,Noun,2019-07-24,1
어른,Noun,2019-07-30,1
어린아이가,Verb,2019-07-26,1
어린이,Noun,2019-07-23,3
어린이,Noun,2019-07-24,4
어린이,Noun,2019-07-27,1
어린이,Noun,2019-07-30,1
어린이,Noun,2019-08-01,1
어린이,Noun,2019-08-14,1
어린이,Noun,2019-08-21,1
어마,Exclamation,2019-07-23,6
어마,Exclamation,2019-09-01,2
어마어마한,Adjective,2019-07-25,3
어마어마한,Adjective,2019-07-27,1
어마어마한,Adjective,2019-09-01,1
억,Modifier,2019-07-23,1
억,Noun,2019-07-23,5
억,Noun,2019-07-25,1
억,Noun,2019-07-30,1
억,Noun,2019-09-01,1
억대,Noun,2019-07-23,3
억대,Noun,2019-07-24,2
억대,Noun,2019-07-26,1
얻는,Verb,2019-07-23,1
얻는,Verb,2019-07-24,1
얻은,Verb,2019-07-23,2
얼,Noun,2019-07-23,1
얼마,Noun,2019-07-23,11
얼마,Noun,2019-07-24,4
얼마,Noun,2019-07-25,2
얼마나,Noun,2019-07-23,6
얼마나,Noun,2019-07-24,3
얼마나,Noun,2019-07-25,1
엄마,Noun,2019-07-23,4
엄마,Noun,2019-07-26,1
엄청난,Adjective,2019-07-23,1
엄청난,Adjective,2019-07-24,1
업,Noun,2019-08-07,1
업계,Noun,2019-07-23,2
업체,Noun,2019-08-03,1
없는,Adjective,2019-07-26,1
없다,Adjective,2019-07-24,1
없다,Adjective,2019-07-25,1
없다,Adjective,2019-09-06,1
없다,Adjective,2019-09-30,1
엇갈려,Verb,2019-07-24,1
엇갈린,Verb,2019-07-24,1
에,Foreign,2019-07-23,6
에,Foreign,2019-07-24,1
에,Foreign,2019-08-30,1
에,Josa,2019-07-23,16
에,Josa,2019-07-24,25
에,Josa,2019-07-25,5
에,Josa,2019-07-26,4
에,Josa,2019-07-27,3
에,Josa,2019-07-28,1
에,Josa,2019-07-29,1
에,Josa,2019-07-30,2
에,Josa,2019-08-03,1
에,Josa,2019-08-21,2
에,Josa,2019-08-31,2
에,Josa,2019-09-01,6
에,Josa,2019-09-06,1
에,Josa,2019-09-30,1
에게,Josa,2019-07-24,5
에게,Josa,2019-07-25,1
에게,Josa,2019-08-02,1
에겐,Josa,2019-07-26,2
에는,Josa,2019-07-23,1
에도,Josa,2019-07-23,2
에도,Josa,2019-07-24,1
에도,Josa,2019-07-27,1
에서,Josa,2019-07-23,1
에서,Josa,2019-07-24,4
에서는,Josa,2019-07-27,1
에서도,Josa,2019-07-24,1
엔,Josa,2019-07-23,1
엔,Josa,2019-07-24,2
여,Noun,2019-07-24,3
여론,Noun,2019-07-23,1
여론,Noun,2019-07-24,2
여명,Foreign,2019-08-21,1
여섯,Determiner,2019-07-24,1
여섯,Noun,2019-08-02,1
여섯,Noun,2019-08-22,1
여자,Noun,2019-07-24,1
여전,Noun,2019-07-23,2
여전,Noun,2019-07-24,1
여지,Noun,2019-07-24,1
역대,Noun,2019-07-23,1
역할,Noun,2019-07-24,4
연,Noun,2019-07-23,2
연,Noun,2019-07-24,1
연기,Noun,2019-07-24,8
연기,Noun,2019-07-25,1
연봉,Noun,2019-07-24,3
연예인,Noun,2019-07-26,1
연출,Noun,2019-07-24,3
연출,Noun,2019-09-01,1
열,Noun,2019-07-23,2
열심히,Adverb,2019-07-25,2
열풍,Noun,2019-07-26,1
열풍,Noun,2019-07-30,1
영상,Noun,2019-07-23,1
영상,Noun,2019-07-24,2
영상,Noun,2019-07-27,1
영상,Noun,2019-08-21,1
영업,Noun,2019-07-23,3
영화,Noun,2019-08-14,1
예방,Noun,2019-07-25,1
예상,Noun,2019-07-23,1
오류,Noun,2019-09-06,1
오해,Noun,2019-07-25,1
온,Noun,2019-07-24,1
온라인,Noun,2019-07-23,1
온라인,Noun,2019-07-27,1
올라,Verb,2019-07-25,1
올려,Verb,2019-07-25,1
올리려고,Verb,2019-07-24,1
옹호,Noun,2019-07-24,1
와,Josa,2019-07-23,1
와,Josa,2019-07-24,1
와,Josa,2019-07-25,2
와,Josa,2019-07-26,1
와,Josa,2019-07-27,1
와,Josa,2019-09-01,1
와,Verb,2019-07-26,3
와,Verb,2019-07-30,1
와,Verb,2019-08-22,1
와글와글,Noun,2019-07-23,1
완전,Noun,2019-08-07,1
왜,Noun,2019-07-23,3
왜,Noun,2019-07-24,3
왜,Noun,2019-07-25,1
왜,Noun,2019-08-01,1
왜,Noun,2019-08-31,1
외모,Noun,2019-07-23,1
요인,Noun,2019-07-23,2
요청,Noun,2019-07-25,1
욕망,Noun,2019-07-30,1
욕망,Noun,2019-08-02,1
용도,Noun,2019-07-26,1
우려,Noun,2019-07-23,2
우려,Noun,2019-07-24,4
우려,Noun,2019-07-26,1
우려,Noun,2019-07-27,1
우리,Noun,2019-07-24,1
우리,Noun,2019-07-26,1
우리,Noun,2019-08-14,1
우선,Noun,2019-09-07,1
우여곡절,Noun,2019-07-23,1
운영,Noun,2019-07-23,3
운영,Noun,2019-07-24,1
운영,Noun,2019-09-06,1
운전,Noun,2019-07-24,3
울,Noun,2019-07-23,1
움,Noun,2019-07-23,2
워,Noun,2019-07-23,1
워,Noun,2019-07-24,3
워킹맘,Noun,2019-07-23,1
원,Noun,2019-07-23,8
원,Noun,2019-07-24,4
원,Noun,2019-08-30,2
원,Noun,2019-08-31,1
원,Noun,2019-09-01,2
원,Noun,2019-09-06,1
원한,Noun,2019-08-18,1
월,Noun,2019-07-23,28
월,Noun,2019-07-24,10
월,Noun,2019-07-25,1
월,Noun,2019-07-26,3
월,Noun,2019-08-03,1
월,Noun,2019-08-07,2
월,Noun,2019-08-09,1
월,Noun,2019-08-30,5
월,Noun,2019-08-31,4
월,Noun,2019-09-01,4
월,Noun,2019-09-02,1
월,Noun,2019-09-03,1
월,Noun,2019-09-06,2
월,Noun,2019-09-30,1
월간,Noun,2019-07-24,1
월간,Noun,2019-09-01,1
월급,Noun,2019-07-23,1
월급,Noun,2019-07-24,3
월등히,Adjective,2019-07-23,1
월세,Noun,2019-07-23,3
월세,Noun,2019-07-24,3
위,Noun,2019-07-23,10
위,Noun,2019-07-24,3
위기,Noun,2019-07-30,1
위반,Noun,2019-07-24,2
위엄,Noun,2019-07-23,1
위키,Noun,2019-07-24,2
위키,Noun,2019-07-25,1
위해,Noun,2019-07-24,2
유,Noun,2019-07-23,1
유,Noun,2019-07-27,1
